epoch,train_loss,train_acc,val_loss,val_acc,monitored,best_epoch
163,0.675926,1.0,1.049213,0.85,val_loss,187
164,0.678121,0.9975,1.151531,0.83,val_loss,187
165,0.673427,1.0,1.152946,0.81,val_loss,187
166,0.670355,1.0,1.230668,0.78,val_loss,187
167,0.675135,1.0,1.196327,0.75,val_loss,187
168,0.673831,1.0,1.147654,0.81,val_loss,187
169,0.672149,1.0,1.107989,0.82,val_loss,187
170,0.677728,1.0,1.144797,0.82,val_loss,187
171,0.678947,0.9975,1.05171,0.82,val_loss,187
172,0.726404,0.9825,1.224587,0.81,val_loss,187
173,0.708947,0.99,1.261293,0.75,val_loss,187
174,0.715185,0.9875,1.296251,0.76,val_loss,187
175,0.696836,0.995,1.15131,0.79,val_loss,187
176,0.675219,1.0,1.233984,0.78,val_loss,187
177,0.674968,1.0,1.178322,0.81,val_loss,187
178,0.673751,1.0,1.187695,0.8,val_loss,187
179,0.661591,1.0,1.057742,0.83,val_loss,187
180,0.663602,1.0,1.170045,0.78,val_loss,187
181,0.660318,1.0,1.084058,0.83,val_loss,187
182,0.655275,1.0,1.151937,0.82,val_loss,187
183,0.655738,1.0,1.023045,0.85,val_loss,187
184,0.662626,1.0,1.16541,0.8,val_loss,187
185,0.666892,1.0,1.140227,0.8,val_loss,187
186,0.655952,1.0,1.143629,0.81,val_loss,187
187,0.656573,1.0,0.97778,0.87,val_loss,187
188,0.6657,1.0,1.142788,0.78,val_loss,187
189,0.657969,1.0,1.076145,0.82,val_loss,187
190,0.66708,1.0,1.00093,0.83,val_loss,187
191,0.664673,1.0,1.020486,0.85,val_loss,187
192,0.668129,1.0,1.085751,0.84,val_loss,187
193,0.669229,0.9975,1.046574,0.85,val_loss,187
194,0.663167,1.0,1.107627,0.83,val_loss,187
195,0.66405,0.9975,1.212764,0.77,val_loss,187
196,0.659444,0.9975,1.117931,0.82,val_loss,187
197,0.661362,1.0,1.10575,0.83,val_loss,187
198,0.679886,0.9975,1.115102,0.76,val_loss,187
199,0.685889,0.9925,1.147394,0.79,val_loss,187
200,0.682893,1.0,1.225418,0.78,val_loss,187
201,0.686474,0.9925,1.140982,0.8,val_loss,187
202,0.703321,0.99,1.2849,0.75,val_loss,187
203,0.70002,0.99,1.481665,0.71,val_loss,187
204,0.783333,0.975,1.478892,0.73,val_loss,187
205,0.770204,0.9775,1.205537,0.76,val_loss,187
206,0.732118,0.9975,1.209502,0.82,val_loss,187
207,0.714316,0.99,1.174575,0.8,val_loss,187
208,0.696995,0.9975,1.107113,0.83,val_loss,187
209,0.696066,0.995,1.185195,0.82,val_loss,187
210,0.670429,1.0,1.070814,0.83,val_loss,187
211,0.670541,0.9975,1.149462,0.79,val_loss,187
212,0.661087,1.0,1.069997,0.83,val_loss,187
213,0.659378,1.0,1.061085,0.84,val_loss,187
214,0.654663,1.0,1.139446,0.81,val_loss,187
215,0.654875,1.0,1.0968,0.8,val_loss,187
216,0.650332,1.0,1.165903,0.78,val_loss,187
217,0.650667,1.0,1.108845,0.8,val_loss,187
218,0.653546,1.0,1.08397,0.83,val_loss,187
219,0.64972,1.0,1.065083,0.84,val_loss,187
220,0.645624,1.0,1.008379,0.85,val_loss,187
221,0.653803,1.0,1.132136,0.8,val_loss,187
222,0.650119,1.0,1.143528,0.79,val_loss,187
223,0.651094,1.0,1.017381,0.85,val_loss,187
224,0.650306,1.0,1.129055,0.79,val_loss,187
225,0.647337,1.0,1.032305,0.83,val_loss,187
226,0.650529,1.0,1.105987,0.81,val_loss,187
227,0.644155,1.0,1.021992,0.83,val_loss,187
228,0.64545,1.0,1.03458,0.82,val_loss,187
229,0.645099,1.0,1.109398,0.81,val_loss,187
230,0.648385,1.0,1.069021,0.83,val_loss,187
231,0.65063,1.0,1.240416,0.75,val_loss,187
232,0.65564,1.0,1.053792,0.84,val_loss,187
233,0.650812,1.0,1.0985,0.83,val_loss,187
234,0.644558,1.0,1.133443,0.8,val_loss,187
235,0.64315,1.0,1.080171,0.82,val_loss,187
