rank,model,config,encoder,pooling,origin,web_acc,web_loss,web_aopcr,web_ndcg,params,size_mb,ucr85_n,ucr85_acc,ucr85_loss,ucr85_aopcr,ucr85_acc_wtl,ucr85_loss_wtl,ucr85_aopcr_wtl,ucr_all_n,ucr_all_acc,ucr_all_loss,ucr_all_aopcr,millet_acc,millet_loss,millet_aopcr
30,seanet_gated_mean_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive,seanet_gated_mean_softmax,sea_mstcn_sep_gated,sea_softmax_conjunctive,ours,0.912,0.3684,2.0929,0.7651,61741,1.503,0,,,,,,,0,,,,,,
31,seanet_recon__sea_mstcn_sep_recon__sea_classwise_conjunctive,seanet_recon,sea_mstcn_sep_recon,sea_classwise_conjunctive,ours,0.91,0.4172,2.5041,0.6804,62925,1.51,0,,,,,,,0,,,,,,
32,seanet_gated_max_adaptive__sea_mstcn_sep_gated__sea_adaptive_classwise,seanet_gated_max_adaptive,sea_mstcn_sep_gated,sea_adaptive_classwise,ours,0.906,0.4437,2.0712,0.7286,61750,1.503,0,,,,,,,0,,,,,,
33,seanet_spiketrend__sea_mstcn_sep_spiketrend__sea_classwise_conjunctive,seanet_spiketrend,sea_mstcn_sep_spiketrend,sea_classwise_conjunctive,ours,0.904,0.3954,2.1545,0.6985,67020,1.525,0,,,,,,,0,,,,,,
34,seanet_bottleneck__sea_mstcn_sep_bottleneck__sea_classwise_conjunctive,seanet_bottleneck,sea_mstcn_sep_bottleneck,sea_classwise_conjunctive,ours,0.902,0.3952,2.5717,0.7325,41324,1.428,0,,,,,,,0,,,,,,
35,seanet_gated_mean__sea_mstcn_sep_gated__sea_classwise_conjunctive,seanet_gated_mean,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.902,0.3929,2.4928,0.7139,61740,1.502,0,,,,,,,0,,,,,,
36,seanet_inputgate_softmax__sea_mstcn_sep_inputgate__sea_softmax_conjunctive,seanet_inputgate_softmax,sea_mstcn_sep_inputgate,sea_softmax_conjunctive,ours,0.894,0.4539,1.6363,0.6955,58093,1.489,0,,,,,,,0,,,,,,
37,millet__mil_inceptiontime__mil_conjunctive,millet,mil_inceptiontime,mil_conjunctive,millet,0.894,0.515,1.5936,0.6711,423707,4.11,0,,,,,,,0,,,,,,
38,seanet_recon_attnmax__sea_mstcn_sep_recon__sea_attention_max,seanet_recon_attnmax,sea_mstcn_sep_recon,sea_attention_max,ours,0.892,0.4994,2.3242,0.7245,62935,1.51,0,,,,,,,0,,,,,,
39,seanet_slim_softmax__sea_mstcn_sep__sea_softmax_conjunctive,seanet_slim_softmax,sea_mstcn_sep,sea_softmax_conjunctive,ours,0.89,0.4195,1.8316,0.7049,57581,1.485,0,,,,,,,0,,,,,,
40,seanet_slim_gatedattn__sea_mstcn_sep_gated__mil_attention,seanet_slim_gatedattn,sea_mstcn_sep_gated,mil_attention,half-ours,0.888,0.4263,2.4029,0.7101,58100,1.487,0,,,,,,,0,,,,,,
41,seanet_gated_max_attnmax__sea_mstcn_sep_gated__sea_attention_max,seanet_gated_max_attnmax,sea_mstcn_sep_gated,sea_attention_max,ours,0.886,0.5881,1.1242,0.5754,61750,1.503,0,,,,,,,0,,,,,,
42,seanet_softmax__sea_mstcn_sep__sea_softmax_conjunctive,seanet_softmax,sea_mstcn_sep,sea_softmax_conjunctive,ours,0.88,0.4549,1.0152,0.6045,269165,3.539,0,,,,,,,0,,,,,,
43,seanet_spiketrend_softmax__sea_mstcn_sep_spiketrend__sea_softmax_conjunctive,seanet_spiketrend_softmax,sea_mstcn_sep_spiketrend,sea_softmax_conjunctive,ours,0.878,0.4883,1.4347,0.665,67021,1.526,0,,,,,,,0,,,,,,
44,seanet_bottleneck_adaptive__sea_mstcn_sep_bottleneck__sea_adaptive_classwise,seanet_bottleneck_adaptive,sea_mstcn_sep_bottleneck,sea_adaptive_classwise,ours,0.868,0.5591,1.9689,0.6805,41334,1.428,6,0.7772,0.5645,0.8861,0/0/6,3/1/2,0/0/6,6,0.7772,0.5645,0.8861,0.8827,0.6432,5.9673
45,seanet_slim_dualstream__sea_mstcn_sep__sea_dualstream_conjunctive,seanet_slim_dualstream,sea_mstcn_sep,sea_dualstream_conjunctive,ours,0.86,0.498,2.3993,0.7454,58101,1.487,0,,,,,,,0,,,,,,
46,seanet_gated_mean_adaptive__sea_mstcn_sep_gated__sea_adaptive_classwise,seanet_gated_mean_adaptive,sea_mstcn_sep_gated,sea_adaptive_classwise,ours,0.86,0.5491,2.2384,0.731,61750,1.503,0,,,,,,,0,,,,,,
47,seanet_inputgate_attnmax__sea_mstcn_sep_inputgate__sea_attention_max,seanet_inputgate_attnmax,sea_mstcn_sep_inputgate,sea_attention_max,ours,0.858,0.6245,2.1534,0.6997,58102,1.489,0,,,,,,,0,,,,,,
48,seanet_gated_last_attnmax__sea_mstcn_sep_gated__sea_attention_max,seanet_gated_last_attnmax,sea_mstcn_sep_gated,sea_attention_max,ours,0.854,0.5984,1.7792,0.668,61750,1.503,0,,,,,,,0,,,,,,
49,seanet_spiketrend_attnmax__sea_mstcn_sep_spiketrend__sea_attention_max,seanet_spiketrend_attnmax,sea_mstcn_sep_spiketrend,sea_attention_max,ours,0.854,0.6368,1.6457,0.6438,67030,1.526,0,,,,,,,0,,,,,,
50,seanet_gated_mean_attnmax__sea_mstcn_sep_gated__sea_attention_max,seanet_gated_mean_attnmax,sea_mstcn_sep_gated,sea_attention_max,ours,0.832,0.6653,1.6723,0.7042,61750,1.503,0,,,,,,,0,,,,,,
51,seanet_bottleneck_dualstream__sea_mstcn_sep_bottleneck__sea_dualstream_conjunctive,seanet_bottleneck_dualstream,sea_mstcn_sep_bottleneck,sea_dualstream_conjunctive,ours,0.824,0.638,2.0374,0.6516,41845,1.431,0,,,,,,,0,,,,,,
52,seanet_bottleneck_attnmax__sea_mstcn_sep_bottleneck__sea_attention_max,seanet_bottleneck_attnmax,sea_mstcn_sep_bottleneck,sea_attention_max,ours,0.816,0.7318,1.7368,0.6101,41334,1.428,0,,,,,,,0,,,,,,
53,resnet__mil_resnet__mil_conjunctive,resnet,mil_resnet,mil_conjunctive,millet,0.772,0.8237,2.9522,0.554,506331,4.416,0,,,,,,,0,,,,,,
54,fcn__mil_fcn__mil_conjunctive,fcn,mil_fcn,mil_conjunctive,millet,0.742,0.9105,3.8256,0.5327,267035,3.474,0,,,,,,,0,,,,,,
55,seanet_gated_last_dualstream__sea_mstcn_sep_gated__sea_dualstream_conjunctive,seanet_gated_last_dualstream,sea_mstcn_sep_gated,sea_dualstream_conjunctive,ours,0.736,0.8037,1.947,0.6373,62261,1.505,0,,,,,,,0,,,,,,
56,seanet_slim_attnmax__sea_mstcn_sep__sea_attention_max,seanet_slim_attnmax,sea_mstcn_sep,sea_attention_max,ours,0.714,0.8545,1.6298,0.5318,57590,1.485,0,,,,,,,0,,,,,,
57,seanet_spiketrend_dualstream__sea_mstcn_sep_spiketrend__sea_dualstream_conjunctive,seanet_spiketrend_dualstream,sea_mstcn_sep_spiketrend,sea_dualstream_conjunctive,ours,0.556,1.2602,1.6425,0.5099,67541,1.528,0,,,,,,,0,,,,,,
