model                                                                             , millet85_datasets, mean_acc_ours, mean_acc_millet, acc_win_tie_loss, mean_loss_ours, mean_loss_millet, loss_win_tie_loss, mean_aopcr_ours, mean_aopcr_millet, aopcr_win_tie_loss, overall_ucr_datasets, overall_mean_acc, overall_mean_loss, overall_mean_aopcr, webtraffic_acc, webtraffic_ndcg, params, model_size_mb
seanet_bottleneck_dualstream__sea_mstcn_sep_bottleneck__sea_dualstream_conjunctive,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.824,          0.6516,  41845,         1.431
seanet_gated_last_attnmax__sea_mstcn_sep_gated__sea_attention_max                 ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.854,          0.668 ,  61750,         1.503
seanet_gated_last_dualstream__sea_mstcn_sep_gated__sea_dualstream_conjunctive     ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.736,          0.6373,  62261,         1.505
seanet_gated_last_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive           ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.92 ,          0.7378,  61741,         1.503
seanet_gated_max_adaptive__sea_mstcn_sep_gated__sea_adaptive_classwise            ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.906,          0.7286,  61750,         1.503
seanet_gated_max_attnmax__sea_mstcn_sep_gated__sea_attention_max                  ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.886,          0.5754,  61750,         1.503
seanet_gated_max_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive            ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.914,          0.776 ,  61741,         1.503
seanet_gated_mean__sea_mstcn_sep_gated__sea_classwise_conjunctive                 ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.902,          0.7139,  61740,         1.502
seanet_gated_mean_adaptive__sea_mstcn_sep_gated__sea_adaptive_classwise           ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.86 ,          0.731 ,  61750,         1.503
seanet_gated_mean_attnmax__sea_mstcn_sep_gated__sea_attention_max                 ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.832,          0.7042,  61750,         1.503
seanet_gated_mean_softmax__sea_mstcn_sep_gated__sea_softmax_conjunctive           ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.912,          0.7651,  61741,         1.503
seanet_inputgate__sea_mstcn_sep_inputgate__sea_classwise_conjunctive              ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.914,          0.7145,  58092,         1.489
seanet_inputgate_attnmax__sea_mstcn_sep_inputgate__sea_attention_max              ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.858,          0.6997,  58102,         1.489
seanet_inputgate_softmax__sea_mstcn_sep_inputgate__sea_softmax_conjunctive        ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.894,          0.6955,  58093,         1.489
seanet_recon__sea_mstcn_sep_recon__sea_classwise_conjunctive                      ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.91 ,          0.6804,  62925,         1.51
seanet_recon_attnmax__sea_mstcn_sep_recon__sea_attention_max                      ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.892,          0.7245,  62935,         1.51
seanet_recon_softmax__sea_mstcn_sep_recon__sea_softmax_conjunctive                ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.932,          0.723 ,  62926,         1.51
seanet_slim__sea_mstcn_sep__sea_classwise_conjunctive                             ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.916,          0.7185,  57580,         1.484
seanet_slim_adaptive__sea_mstcn_sep__sea_adaptive_classwise                       ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.93 ,          0.7928,  57590,         1.485
seanet_slim_attnmax__sea_mstcn_sep__sea_attention_max                             ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.714,          0.5318,  57590,         1.485
seanet_slim_dualstream__sea_mstcn_sep__sea_dualstream_conjunctive                 ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.86 ,          0.7454,  58101,         1.487
seanet_slim_gatedattn__sea_mstcn_sep_gated__mil_attention                         ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.888,          0.7101,  58100,         1.487
seanet_slim_softmax__sea_mstcn_sep__sea_softmax_conjunctive                       ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.89 ,          0.7049,  57581,         1.485
seanet_spiketrend__sea_mstcn_sep_spiketrend__sea_classwise_conjunctive            ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.904,          0.6985,  67020,         1.525
seanet_spiketrend_attnmax__sea_mstcn_sep_spiketrend__sea_attention_max            ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.854,          0.6438,  67030,         1.526
seanet_spiketrend_dualstream__sea_mstcn_sep_spiketrend__sea_dualstream_conjunctive,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.556,          0.5099,  67541,         1.528
seanet_spiketrend_softmax__sea_mstcn_sep_spiketrend__sea_softmax_conjunctive      ,                 0,              ,                ,                 ,               ,                 ,                  ,                ,                  ,                   ,                    0,                 ,                  ,                   ,          0.878,          0.665 ,  67021,         1.526
