Dataset,GAPFCN 0,GAPFCN 1,GAPFCN 2,GAPFCN 3,GAPFCN 4,InstanceFCN 0,InstanceFCN 1,InstanceFCN 2,InstanceFCN 3,InstanceFCN 4,AttentionFCN 0,AttentionFCN 1,AttentionFCN 2,AttentionFCN 3,AttentionFCN 4,AdditiveFCN 0,AdditiveFCN 1,AdditiveFCN 2,AdditiveFCN 3,AdditiveFCN 4,ConjunctiveFCN 0,ConjunctiveFCN 1,ConjunctiveFCN 2,ConjunctiveFCN 3,ConjunctiveFCN 4,GAPFCNEnsemble 0,InstanceFCNEnsemble 0,AttentionFCNEnsemble 0,AdditiveFCNEnsemble 0,ConjunctiveFCNEnsemble 0
Computers,3.2096190452575684,2.736898899078369,2.9762330055236816,2.64453649520874,3.5853099822998047,3.834808588027954,3.6566739082336426,4.337602615356445,3.366707563400269,4.401991367340088,1.0199832916259766,-1.2454345226287842,2.280470609664917,1.9247864484786987,1.7218385934829712,3.815732479095459,3.750963926315308,2.9393129348754883,3.883646965026856,3.715986728668213,3.633096218109131,3.759574413299561,3.201629638671875,4.043340682983398,3.7263615131378174,3.01181960105896,3.52018404006958,1.4847007989883425,3.4242701530456543,3.35779333114624
CricketX,6.3979339599609375,6.4285993576049805,6.361766338348389,6.320766925811768,6.054343223571777,6.502835750579834,6.213341236114502,6.430119514465332,5.946081161499023,6.608518600463867,-2.8466503620147705,-2.8588204383850098,-2.4785845279693604,-2.943037986755371,-1.1867231130599976,6.26875638961792,6.53450345993042,6.5689473152160645,6.24944543838501,6.389186859130859,5.967376708984375,6.627679347991943,6.556124687194824,6.264174461364746,6.564167499542236,6.190915584564209,6.0675129890441895,-2.447235345840454,6.069065093994141,6.142591953277588
CricketY,6.7669596672058105,6.43761682510376,6.875249862670898,6.458642482757568,6.690356254577637,6.627784252166748,6.059253692626953,6.829361915588379,6.512651920318604,6.682015419006348,-2.4645304679870605,-2.282673120498657,-2.071857452392578,-2.6809093952178955,-2.1063199043273926,6.459434986114502,6.710591793060303,6.8865065574646,6.922097206115723,6.32080602645874,6.9035725593566895,6.5883564949035645,6.7037458419799805,6.928100109100342,6.72362756729126,6.492751598358154,6.333827972412109,-2.5160744190216064,6.443450927734375,6.569005966186523
CricketZ,6.340468406677246,6.679701328277588,7.097634315490723,6.623481750488281,6.601485729217529,6.684638977050781,6.332199096679688,6.789350509643555,6.744765281677246,6.958832740783691,-3.315723896026612,-3.4670233726501465,-1.7294342517852783,-3.1418769359588623,-1.6144317388534546,7.221567630767822,6.77697229385376,6.677384376525879,6.353157043457031,6.693993091583252,6.25803804397583,6.8335137367248535,7.210440635681152,6.673159599304199,6.845372676849365,6.644434452056885,6.500834465026856,-2.9297144412994385,6.5667829513549805,6.507204532623291
DiatomSizeReduction,3.972077608108521,2.741150140762329,-0.244957149028778,1.3213766813278198,-1.8040854930877688,2.5415823459625244,2.88010573387146,2.81699013710022,1.7607594728469849,1.758613348007202,-0.6797477006912231,-0.8725683689117432,-3.5672836303710938,4.626504898071289,1.88872754573822,2.7845993041992188,3.313894748687744,4.331051826477051,3.136968851089477,5.4997968673706055,2.995907783508301,1.933927297592163,2.9569344520568848,2.437705516815185,4.084168910980225,0.9153847098350524,2.4171459674835205,-0.3902240991592407,3.181948184967041,2.8600759506225586
DistalPhalanxOutlineAgeGroup,0.8510687351226807,3.0640313625335693,0.660317063331604,0.8211463689804077,2.5921993255615234,0.8788168430328369,0.6949892640113831,-0.7577012777328491,1.1129776239395142,0.9222457408905028,0.7714043259620667,-0.0515249632298946,3.536596775054932,-2.278322219848633,2.735658645629883,-0.6810027956962585,-1.4117202758789062,3.556164026260376,0.7558010220527649,1.5614988803863523,4.244124889373779,2.3523123264312744,0.8648651242256165,-0.7180116772651672,1.0500545501708984,1.3561007976531982,0.2667104601860046,0.4082193672657013,-0.8128132820129395,1.3087612390518188
DistalPhalanxOutlineCorrect,4.696059703826904,4.735057830810547,1.99824059009552,3.2169511318206787,2.726114511489868,1.2538063526153564,3.4217276573181152,2.2513790130615234,1.4154295921325684,2.247528553009033,-1.015599250793457,-0.4221457540988922,-0.1787447929382324,0.059202816337347,0.3526967465877533,3.466724157333374,3.1598079204559326,0.5781620740890503,1.4917960166931152,0.8789101243019104,3.291361093521118,4.484964847564697,3.066645383834839,1.7147876024246216,1.4866149425506592,2.423476457595825,2.203263759613037,-0.6840099096298218,1.9422647953033447,2.3274974822998047
DistalPhalanxTW,3.969694137573242,0.641603946685791,3.395298957824707,1.1098092794418335,2.816277503967285,8.77078628540039,3.1408257484436035,8.2136812210083,5.922755241394043,2.802037239074707,-16.028337478637695,-13.22563934326172,-6.082712173461914,-9.671114921569824,-15.093825340270996,3.008138418197632,3.635439395904541,7.136682510375977,4.417349338531494,4.812768459320068,3.903475761413574,4.389070987701416,4.349353790283203,3.290839910507202,5.590030670166016,1.4568381309509275,5.194941520690918,-10.57289218902588,4.384471893310547,3.750415086746216
Earthquakes,6.105883598327637,4.863133430480957,5.556579113006592,5.229047775268555,5.723188400268555,5.50015115737915,5.805974960327148,5.690638065338135,5.443410396575928,5.5251898765563965,0.6332439184188843,1.5090699195861816,0.2138542532920837,0.8661248683929443,0.861056387424469,5.372526168823242,5.222025871276856,6.121763229370117,5.695374488830566,5.056779384613037,5.12390661239624,5.321394920349121,5.4995293617248535,5.381259918212891,5.1734232902526855,5.689990520477295,5.614436149597168,1.3225206136703491,5.2031683921813965,5.43098783493042
ECG200,3.027191400527954,4.379624366760254,4.665490627288818,3.3470046520233154,3.0025665760040283,3.653229713439941,4.128926753997803,4.130662441253662,5.494829654693604,4.811988830566406,-0.4091640412807464,-0.4680501818656921,0.0310646668076515,-0.5090883374214172,-0.6453608870506287,2.8850042819976807,4.289429187774658,3.526075839996338,2.570077419281006,2.8151426315307617,3.184149265289306,3.675840854644776,3.94963002204895,4.611186027526856,3.25137996673584,3.666898488998413,4.541986465454102,-0.3556962609291076,2.990519046783448,3.5101430416107178
