Dataset,GAPFCN 0,GAPFCN 1,GAPFCN 2,GAPFCN 3,GAPFCN 4,InstanceFCN 0,InstanceFCN 1,InstanceFCN 2,InstanceFCN 3,InstanceFCN 4,AttentionFCN 0,AttentionFCN 1,AttentionFCN 2,AttentionFCN 3,AttentionFCN 4,AdditiveFCN 0,AdditiveFCN 1,AdditiveFCN 2,AdditiveFCN 3,AdditiveFCN 4,ConjunctiveFCN 0,ConjunctiveFCN 1,ConjunctiveFCN 2,ConjunctiveFCN 3,ConjunctiveFCN 4,GAPFCNEnsemble 0,InstanceFCNEnsemble 0,AttentionFCNEnsemble 0,AdditiveFCNEnsemble 0,ConjunctiveFCNEnsemble 0
DistalPhalanxTW,7.036191618681187e-06,1.4907061540725408e-06,5.388191311794799e-06,5.9180442804063205e-06,6.608255716855638e-06,3.52736856257252e-06,7.829181413399056e-06,9.180032066069543e-06,6.786175163142616e-06,9.206600225297734e-06,8.496757800457999e-06,1.0941243999695873e-05,1.7930802641785704e-05,2.614539880596567e-06,1.231715941685252e-05,1.4704464774695223e-05,6.147833573777461e-06,1.0968427886837162e-05,4.931036528432742e-06,6.462516012106789e-06,5.375070031732321e-06,1.4881153219903354e-05,1.0178138836636208e-05,1.1193640602868982e-05,1.83861811819952e-05,3.5640293845062843e-06,5.198346116230823e-06,6.483684501290554e-06,6.097165169194341e-06,8.418676770816091e-06
Earthquakes,8.51863733259961e-05,0.0001491013535996,8.527046884410083e-05,9.926329948939384e-05,0.0001990477467188,0.0001238482363987,8.636494021629915e-05,7.130266749300063e-05,0.0001156543585238,0.0001448485127184,0.0001090409277821,0.0001433457073289,0.0001317696733167,0.0001842910860432,9.265469998354092e-05,7.0101028541103e-05,0.0002013849880313,0.0001069820427801,0.0001012474895105,0.0001726570480968,0.0001037783076753,7.403408380923793e-05,8.347152470378205e-05,0.0001625799195608,0.0001279544812859,8.211345266317949e-05,8.251934923464432e-05,9.628338739275932e-05,9.21083046705462e-05,8.359611820196733e-05
ECG200,2.813316768879304e-06,9.916709132085089e-06,6.011600362398895e-06,6.381158982549096e-06,8.573279956181068e-06,8.746183084440418e-06,8.091769814200234e-06,5.828051143907942e-06,8.603115929872729e-06,1.3252045391709544e-05,6.227404810488224e-06,3.182884995567292e-07,1.1801690789070562e-06,2.783523996185977e-06,2.896784394579299e-07,1.1992428881058004e-06,4.863735512117273e-07,1.2516945844254224e-06,5.054469056631206e-07,6.302527253865264e-06,6.791258783778176e-06,5.463311481435085e-06,1.2230841548444005e-06,3.2627369819238083e-06,4.500098839343991e-06,5.272537237033248e-06,7.668573744012974e-06,9.369834970129888e-07,1.053808205142559e-06,3.170947593389428e-06
ECG5000,7.300515335373348e-06,6.733145710313693e-06,8.853045983414631e-06,9.156079613603652e-06,1.977005558728706e-05,1.3312232113094067e-05,8.89770126377698e-06,2.522157592466101e-05,1.3099858733767178e-05,1.4610435755457727e-05,1.6642119589960203e-05,1.2510884516814258e-05,8.008897566469386e-06,1.2557457921502646e-05,1.3739900168729946e-05,1.6928213881328702e-05,1.1716323569999076e-05,8.11096379038645e-06,1.727938069961965e-05,1.457095095247496e-05,1.2889271602034569e-05,5.981266895105364e-06,1.4668028597952798e-05,1.5104079466254916e-05,4.0875693230191246e-06,7.233828910102602e-06,1.0811377251229716e-05,9.485955160926096e-06,1.0839207789103966e-05,7.359873507084558e-06
ECGFiveDays,2.302226312167477e-05,1.6430111600129749e-06,7.71743907534983e-06,1.337199137196876e-05,2.597113416413777e-05,5.074150067230221e-06,5.436954779725056e-06,8.567399163439404e-06,1.7414866988474389e-06,7.634522262378596e-06,1.078570494428277e-05,1.4449687114392871e-05,2.5759500204003416e-06,2.130153188772965e-05,3.679919927890296e-06,3.876875780406408e-06,1.993298610614147e-05,2.7158851025888e-06,4.286329385649879e-06,7.986842319951393e-06,2.2918657123227604e-05,4.250038273312384e-06,1.786032044037711e-05,9.127200428338256e-06,8.650349627714604e-06,7.515311153838411e-06,3.5503542221704265e-06,4.073832769790897e-06,3.679923338495428e-06,6.934824796189787e-06
ElectricDevices,0.052464809268713,0.0540560744702816,0.0538238026201725,0.052940260618925,0.0544596686959266,0.0659981146454811,0.0658235549926757,0.0666798427700996,0.066299982368946,0.0659759119153022,0.0358802117407321,0.0367269925773143,0.0346233732998371,0.0334979705512523,0.0340517424046993,0.0340695641934871,0.0367161855101585,0.0346205942332744,0.035242099314928,0.0357051007449626,0.0357753038406372,0.0352451913058757,0.0354798510670661,0.0363542400300502,0.0358437001705169,0.0516392514109611,0.0642484948039054,0.0316566005349159,0.0318859480321407,0.0324263423681259
FaceAll,5.632632564811502e-07,5.006784249417251e-07,3.525186400565872e-07,1.0215790098300204e-06,4.042469754494961e-07,4.95782387588406e-07,4.01905111857559e-07,3.9743497382005444e-07,1.0554255140959867e-06,7.557002845715033e-07,2.905724443280633e-07,5.504905402631266e-07,6.780016974516911e-07,1.958437536586644e-07,4.566133782191173e-07,3.3357281381540815e-07,8.606468213656626e-07,8.057256195570517e-07,4.308558629873005e-07,1.4209276741894428e-06,5.905111493120785e-07,5.121736990076897e-07,3.067508771437133e-07,8.964097446551023e-07,7.012048399701598e-07,3.727417094978591e-07,3.797665044658061e-07,2.458690460116486e-07,4.553365613446658e-07,3.978607310273219e-07
FaceFour,2.245553514512721e-05,2.0195633624098264e-05,3.25521978083998e-05,3.310346437501721e-05,3.436491169850342e-05,2.4814899006742053e-05,3.755422221729532e-05,1.3296616089064628e-05,1.5705611076555215e-05,2.1993399059283547e-05,1.5646201063646004e-06,2.1770036255475134e-05,9.427411896467676e-06,1.3937368748884182e-05,1.2740382771880832e-05,6.124253104644595e-06,1.1021766113117336e-05,8.473721209156793e-06,7.4853091973636765e-06,1.5099570191523526e-05,1.0028409633378033e-05,3.0149940357659943e-06,1.6530064385733567e-05,1.0435684998810755e-05,1.4583071788365489e-05,2.4789706003502943e-05,1.9097957192570902e-05,7.316436949622584e-06,6.48694003757555e-06,8.096245437627658e-06
FacesUCR,3.7544782571785618e-06,7.13342524250038e-06,5.618889190373011e-06,2.934326857939596e-06,2.185696757806e-06,5.368557140172925e-06,7.9833580457489e-06,3.259171535319183e-06,2.533190126996488e-06,4.736159553431207e-06,4.073363015777432e-06,3.68653422810894e-06,3.6305023058957886e-06,1.349785816273652e-05,3.2639375149301486e-06,1.2557328773254994e-05,4.486417310545221e-06,4.117470780329313e-06,3.5935495361627545e-06,5.341736141417641e-06,5.019872332923114e-06,3.625734279921744e-06,2.8842596293543465e-06,6.120755188021576e-06,8.755818271311e-06,2.945056394310086e-06,3.507125029500457e-06,3.8117027543194126e-06,4.191382231510943e-06,3.821833615802461e-06
FiftyWords,0.0026287105865776,0.002581472042948,0.0023996906820684,0.0025017140433192,0.0022477288730442,0.0033476671669632,0.0034801492001861,0.0041834274306893,0.002643828978762,0.0032390535343438,0.0035859607160091,0.0024237153120338,0.0029759327881038,0.0031813939567655,0.0029437297489494,0.0041751251555979,0.0016640682006254,0.0023892887402325,0.0038839692715555,0.0032409415580332,0.0032871053554117,0.0026166555471718,0.0019710576161742,0.0021547826472669,0.0026086780708283,0.0016796586569398,0.002246412448585,0.001951340935193,0.001835519564338,0.0015327173750847
