Dataset,GAPResNet 0,GAPResNet 1,GAPResNet 2,GAPResNet 3,GAPResNet 4,InstanceResNet 0,InstanceResNet 1,InstanceResNet 2,InstanceResNet 3,InstanceResNet 4,AttentionResNet 0,AttentionResNet 1,AttentionResNet 2,AttentionResNet 3,AttentionResNet 4,AdditiveResNet 0,AdditiveResNet 1,AdditiveResNet 2,AdditiveResNet 3,AdditiveResNet 4,ConjunctiveResNet 0,ConjunctiveResNet 1,ConjunctiveResNet 2,ConjunctiveResNet 3,ConjunctiveResNet 4,GAPResNetEnsemble 0,InstanceResNetEnsemble 0,AttentionResNetEnsemble 0,AdditiveResNetEnsemble 0,ConjunctiveResNetEnsemble 0
ElectricDevices,2.3936445713043213,2.6685492992401123,2.996678590774536,3.3968186378479004,2.318223476409912,4.36350679397583,4.759945869445801,4.6717939376831055,3.91986894607544,4.233396530151367,-1.23990797996521,-1.5353204011917114,-0.7071362733840942,-0.8086157441139221,-0.9696440696716307,6.16722583770752,4.506520748138428,4.698505401611328,5.277185440063477,3.7481226921081534,4.24276876449585,5.132297515869141,6.535813808441162,4.74902868270874,5.472330570220947,2.6069083213806152,3.569746732711792,-0.6641530394554138,3.845308780670166,3.9434118270874015
FaceAll,2.7949790954589844,3.346612930297852,2.9220802783966064,2.877671718597412,3.223575592041016,3.3044214248657227,3.692872285842896,3.746516227722168,3.923728704452514,3.41454815864563,-5.13348388671875,-3.9595232009887695,-4.918911933898926,-5.450629711151123,-5.632255554199219,3.1696441173553467,3.348899602890014,4.089226722717285,3.2624568939208984,1.455938458442688,3.680899381637573,3.935972929000856,3.3005387783050537,3.0408413410186768,3.2261605262756348,2.436636686325073,3.0948596000671387,-4.854274272918701,2.518759250640869,2.999916076660156
FaceFour,6.029844760894775,5.445724964141846,6.605230808258057,5.682542324066162,6.046999454498291,5.251096248626709,5.577882766723633,5.202140331268311,6.752574920654297,6.719762325286865,0.8951746821403503,-2.1012156009674072,1.2951687574386597,1.6392822265625,1.2202962636947632,4.911524295806885,6.199282169342041,5.603633403778076,5.812711715698242,6.024069309234619,5.909803867340088,6.109489917755127,6.560240268707275,5.6820244789123535,6.245744705200195,5.719781398773193,5.793942928314209,0.5250287652015686,5.424737930297852,5.981940746307373
FacesUCR,5.785722255706787,5.906426429748535,5.144084453582764,6.376613616943359,5.923474311828613,4.917699813842773,5.851256847381592,5.026203632354736,5.736130237579346,5.914352416992188,0.4614459872245788,0.5101688504219055,0.5354347825050354,0.3831995725631714,-0.0182915106415748,5.368984222412109,5.372399806976318,5.546826362609863,5.862188816070557,5.674746036529541,4.804675102233887,5.152103424072266,4.812311172485352,3.7742278575897217,5.484429836273193,5.522150993347168,5.307227611541748,0.1276176869869232,5.232467651367188,4.591888427734375
FiftyWords,7.4914870262146,6.622318267822266,6.993639945983887,6.731266975402832,6.998752593994141,6.874937057495117,6.436805248260498,6.439291477203369,6.036900043487549,6.8815016746521,-3.0411648750305176,-2.6911962032318115,-2.139019250869751,-2.7849931716918945,-2.3109025955200195,6.393429756164551,6.2394185066223145,6.001200675964356,6.352609634399414,6.227014064788818,6.013513565063477,5.857290267944336,6.457790851593018,5.657223224639893,6.123294830322266,6.644293308258057,6.014941215515137,-2.3055202960968018,5.916784286499023,5.588768005371094
Fish,8.13427734375,7.650135517120361,7.514068126678467,9.626432418823242,7.022228717803955,13.053500175476074,15.520623207092283,12.026277542114258,12.247480392456056,9.093765258789062,-0.9109962582588196,-0.835619330406189,-0.1991881728172302,-0.1797686219215393,-0.168298602104187,12.852815628051758,11.09782600402832,17.911447525024414,9.65269374847412,13.558003425598145,10.12532901763916,11.3818941116333,11.254642486572266,10.090797424316406,9.706879615783691,7.672434329986572,12.603171348571776,-0.8007173538208008,12.526583671569824,9.644953727722168
FordA,6.214804172515869,6.398678302764893,5.932661533355713,6.535089015960693,5.562688827514648,7.165844917297363,7.239504337310791,6.07142972946167,5.395919799804688,4.838013172149658,-0.4238224327564239,-0.1924873441457748,0.1988070458173751,-0.1615767031908035,-0.0440318807959556,7.114612102508545,7.268589496612549,4.907963752746582,7.89778995513916,5.558055400848389,7.150855541229248,6.85092306137085,5.279119491577148,6.697199821472168,7.5669026374816895,6.84609842300415,6.648110866546631,0.0269128251820802,7.166264533996582,6.905055999755859
FordB,9.939993858337402,10.186033248901367,9.312583923339844,8.07922649383545,8.380833625793457,6.848624706268311,5.612428188323975,8.739790916442871,4.869728088378906,7.7534260749816895,0.4395510554313659,0.5714340209960938,0.3518336117267608,0.9161550402641296,0.7912909984588623,9.755194664001465,6.671611785888672,7.446149826049805,8.991410255432129,6.886689186096191,7.697897434234619,9.763254165649414,9.562761306762695,7.131313323974609,6.321223735809326,9.537372589111328,7.782491683959961,0.6510286927223206,8.616987228393555,7.988011360168457
GunPoint,3.036473274230957,2.185691595077514,2.53389573097229,-0.9614243507385254,4.001158714294434,0.254825234413147,1.716302752494812,4.568904399871826,1.8327189683914185,2.5886807441711426,-4.08513879776001,-7.088621139526367,-2.077713966369629,-3.069216012954712,-0.764330267906189,0.3122819662094116,-2.410583019256592,-0.5344136953353882,2.3320059776306152,0.9881866574287416,2.7233874797821045,0.7427045702934265,2.4508533477783203,1.874639749526977,2.3130691051483154,2.604618549346924,1.972158670425415,-1.5244075059890747,0.507936954498291,1.8128845691680908
Ham,8.353986740112305,7.730066299438477,5.983034133911133,7.669783592224121,8.827485084533691,6.186991691589356,6.166056156158447,5.375998020172119,7.397223949432373,6.407876014709473,2.630659580230713,2.08516526222229,2.9070687294006348,1.7790745496749878,2.432312250137329,6.679687976837158,7.585173606872559,7.43955135345459,5.866091251373291,6.983307838439941,7.822174549102783,5.864882946014404,5.479856491088867,8.130461692810059,7.0062575340271,7.298037052154541,6.040086269378662,2.059155941009521,6.638860702514648,6.606939315795898
HandOutlines,15.094447135925291,15.968132019042969,18.41960906982422,37.37198257446289,22.097728729248047,14.395925521850586,44.8463020324707,13.6251859664917,60.06243133544922,20.80670547485352,8.833580017089844,5.449326992034912,8.3525972366333,25.63817024230957,7.76124906539917,-4.488827228546143,16.29204750061035,30.186742782592773,16.428176879882812,63.402976989746094,20.504539489746094,26.715131759643555,12.231156349182127,68.8580551147461,15.54380226135254,21.292484283447266,19.725929260253903,10.052443504333496,18.76850700378418,23.366334915161133
Haptics,7.108767032623291,7.360590934753418,7.489880561828613,7.495153427124023,8.17742919921875,5.894138813018799,7.164264678955078,7.456698894500732,7.831354141235352,7.615310192108154,-0.8942522406578064,-0.3996060192584991,-0.6700952053070068,-1.264742136001587,-1.181362271308899,6.641374588012695,8.139103889465332,8.16978645324707,6.51455020904541,7.560356140136719,8.358323097229004,7.438235759735107,7.155118942260742,7.572637557983398,8.480545997619629,7.226982116699219,6.786570549011231,-1.427368402481079,6.675045490264893,7.217340469360352
