Dataset,GAPInceptionTime 0,GAPInceptionTime 1,GAPInceptionTime 2,GAPInceptionTime 3,GAPInceptionTime 4,InstanceInceptionTime 0,InstanceInceptionTime 1,InstanceInceptionTime 2,InstanceInceptionTime 3,InstanceInceptionTime 4,AttentionInceptionTime 0,AttentionInceptionTime 1,AttentionInceptionTime 2,AttentionInceptionTime 3,AttentionInceptionTime 4,AdditiveInceptionTime 0,AdditiveInceptionTime 1,AdditiveInceptionTime 2,AdditiveInceptionTime 3,AdditiveInceptionTime 4,ConjunctiveInceptionTime 0,ConjunctiveInceptionTime 1,ConjunctiveInceptionTime 2,ConjunctiveInceptionTime 3,ConjunctiveInceptionTime 4,GAPInceptionTimeEnsemble 0,InstanceInceptionTimeEnsemble 0,AttentionInceptionTimeEnsemble 0,AdditiveInceptionTimeEnsemble 0,ConjunctiveInceptionTimeEnsemble 0
Strawberry,1.808841989259236e-05,3.880808799294755e-05,3.359321635798551e-05,5.399364090408199e-05,2.337988917133771e-05,8.63919012772385e-06,4.247967808623798e-05,8.874644845491275e-05,3.3250300475629047e-05,4.757084025186487e-05,4.22692573920358e-06,2.756739741016645e-05,3.698357613757253e-05,3.1460614991374314e-05,9.47808730416e-05,7.696626562392339e-05,1.7251016970476485e-06,2.239563400507905e-05,4.521859955275431e-05,3.91502289858181e-05,4.768760845763609e-05,1.0717511031543836e-05,2.2564589016838e-05,2.838347245415207e-05,1.6246973245870322e-05,2.00519625650486e-05,2.257995402032975e-05,1.6059313566074707e-05,1.284222616959596e-05,1.3567545465775764e-05
SwedishLeaf,3.188308710377896e-06,2.093278226311668e-06,1.8772734620142728e-06,2.6361356049164897e-06,6.709071271870926e-07,1.3859148566552904e-06,1.5470784546778305e-06,1.683450705058931e-06,9.61772570917674e-07,2.1297610146575607e-06,1.8698884787227144e-06,6.957005211916112e-07,1.6693703628334331e-06,1.640767095523188e-06,7.326549393837922e-07,3.913982254744042e-06,1.1784912885559606e-06,2.107111413351958e-06,1.3889973615732742e-06,4.768358508044912e-07,2.227278173450032e-06,9.937211871147156e-07,1.6686367416696155e-06,2.9219588668638607e-06,6.72097769438551e-07,3.931511400878662e-07,4.0626426311973773e-07,3.8027576465538004e-07,3.5476597304295865e-07,3.166190083447873e-07
Symbols,8.001185051398352e-06,1.8501181102692497e-06,2.889614734158385e-06,2.6941042960970663e-06,6.628027904298506e-07,1.6212452180752734e-07,6.222567662916845e-06,2.489078269718448e-06,3.290158247182262e-06,3.542864305927651e-06,1.878726379800355e-06,5.149758180778008e-06,1.273137877433328e-05,1.7166127008749754e-07,7.152554815093026e-08,1.039503445099399e-06,1.9073475243658322e-07,2.908704743731505e-07,2.9945222195237875e-06,3.3712012736941688e-06,1.382827434781575e-07,7.152556946721236e-08,1.975007762666792e-05,7.471910066669807e-06,2.3603308818564983e-06,1.95502320821106e-06,1.440043888578657e-06,7.820108862688357e-07,5.102151590108406e-07,7.390967198261933e-07
SyntheticControl,5.5630993145427965e-09,2.7815495684535573e-08,3.178914020907086e-09,3.9736428036896143e-10,4.371007111814151e-09,0.0,5.960463678178485e-09,1.9470844492275322e-08,9.13937725499636e-09,2.543131216725669e-08,1.1920927356356973e-08,9.934105982267738e-09,1.192092757840157e-09,8.742014223628303e-09,2.384185515680315e-09,6.755192405449861e-09,3.973642748178463e-09,1.9470848044989e-08,2.384185515680315e-09,1.4305111761814261e-08,6.357828041814173e-09,3.05970289105062e-08,1.589457010453543e-09,1.9470848044989e-08,4.053114466273655e-08,1.192092757840157e-09,1.9868213740892315e-09,1.589457010453543e-09,3.5762783845427752e-09,3.973642748178463e-09
ToeSegmentation1,2.9802320611338473e-09,9.83476553528817e-08,8.940696183401542e-09,4.3213339040448773e-07,3.367660781350424e-07,3.5762784733606174e-08,2.9802318834981644e-08,0.0,0.0,1.1920927356356973e-08,0.0,3.874301768291844e-08,1.341104365337742e-07,2.7418121817390784e-07,1.7881392366803084e-08,3.5762784733606174e-08,6.854533296518639e-08,4.500149373143359e-07,1.7583366229700917e-07,9.238719655968453e-08,0.0,0.0,2.9802318834981644e-08,0.0,3.874300489314919e-07,6.556509646316044e-08,2.9802320611338473e-09,2.6822087662026213e-08,8.940695295223122e-08,8.940696183401542e-09
ToeSegmentation2,2.9802318834981644e-08,0.0,8.609558932448635e-08,5.529983582164277e-07,9.93410651517479e-08,2.549753332914406e-07,0.0,2.6490949878166248e-08,3.3775950214476325e-07,6.788300765947497e-07,4.106096582745522e-07,6.622737469541562e-09,0.0,0.0,0.0,5.033274987908953e-07,0.0,0.0,3.311368956815386e-09,0.0,0.0,0.0,0.0,0.0,0.0,7.285011349722481e-08,9.93410651517479e-08,0.0,3.311368956815386e-09,0.0
Trace,6.914138594993346e-08,8.940696005765859e-08,8.010853207451873e-07,5.9604641222676954e-09,2.884863761209999e-07,1.306529725297878e-06,5.626673669212323e-07,8.821486829901914e-08,2.419947691123525e-07,1.0204296359006548e-06,1.084804353013169e-07,8.296959776998847e-07,4.816051841771696e-07,1.163480305876874e-06,1.1658645462375716e-06,5.507465061782568e-07,6.687633913315949e-07,9.32215527882363e-07,6.794928708586667e-08,5.2452083565412984e-08,1.2326205478530028e-06,1.362558805340086e-06,6.020063665346242e-07,1.3148760444892105e-06,4.625314886652632e-07,8.344649415903407e-08,3.4809093563126225e-07,4.899497980659362e-07,2.1338455269415133e-07,8.189664981728129e-07
TwoLeadECG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TwoPatterns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.768371253405235e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UWaveGestureLibraryAll,2.9815532798238564e-07,3.944799971122848e-07,7.574255391773477e-07,9.683018333817015e-07,8.082500357886602e-07,2.377529284558477e-07,6.03628564022074e-07,5.313842166287941e-07,6.826568323958782e-07,3.703997322190844e-07,3.354084867623897e-07,3.62549599230988e-07,1.1866299018947757e-06,5.780836431767966e-07,8.598731255915482e-07,4.159010416060482e-07,8.780997404755908e-07,1.0313702887287943e-06,7.654110731891706e-07,3.688032279569597e-07,6.372890197781089e-07,3.6933533920091577e-07,7.089994937814481e-07,1.1702568372129465e-06,9.56730673351558e-07,1.710970849444493e-07,1.1135951893948005e-07,1.5859086488489993e-07,2.124744469256257e-07,2.143370636531472e-07
UWaveGestureLibraryX,4.728582553070737e-06,1.5897455796221038e-06,3.0636947485618293e-06,1.9502974737406475e-06,1.7821126903072582e-06,1.92631637219165e-06,1.357180053673801e-06,1.790243572941108e-06,2.471091875122511e-06,1.820909005800786e-06,1.485706206949544e-06,1.3158062301954487e-06,1.058900693351461e-06,1.348408432022552e-06,1.4193168453857652e-06,1.7689574178803014e-06,4.297177838452626e-06,1.6329831851180645e-06,1.624198148419964e-06,2.474560233167722e-06,9.251941150978382e-07,1.0023567256212118e-06,1.1531009249665658e-06,2.5841588922048686e-06,8.874044397089165e-07,7.695325052736735e-07,5.011814323552244e-07,4.455686450910434e-07,6.967549666114792e-07,3.750541566205357e-07
UWaveGestureLibraryY,3.2553828077652724e-06,1.7792060589272296e-06,1.576167278471985e-06,3.209660690117744e-06,1.9618689748313045e-06,3.5546811432141112e-06,1.599988536327146e-06,2.614942559375777e-06,2.1288446987455245e-06,1.0318799468223006e-06,2.433353074593469e-06,6.880715318402508e-06,4.205144705338171e-06,1.5849558394620544e-06,3.203265123374877e-06,1.8646151147549968e-06,2.2462957076641032e-06,1.4765255400561728e-06,3.579589247237891e-06,9.184092846226122e-07,1.4275632338467403e-06,1.6271196727757342e-06,2.29534111895191e-06,2.585008132882649e-06,1.008747403830057e-06,8.029239211282402e-07,5.657001906911319e-07,1.0652782975739683e-06,4.816230898541107e-07,5.35904234766349e-07
UWaveGestureLibraryZ,2.29859347200545e-06,3.2558018574491143e-06,2.552675368860946e-06,1.4167932249620208e-06,2.76172590929491e-06,8.701132969690661e-07,1.8398601469016285e-06,2.0588529423548607e-06,2.700391405596747e-06,1.1270210507063894e-06,3.0280916689662263e-06,1.1774437780331937e-06,3.122922862530686e-06,7.845671348150063e-07,4.326097496232251e-06,1.9428237010288285e-06,4.892891865893034e-06,3.056373998333584e-06,3.596496071622824e-06,1.4786503470531898e-06,2.01202669813938e-06,2.6595498638926074e-06,3.633119604273816e-06,1.982352387130959e-06,1.498343635830679e-06,7.109950956873945e-07,5.017151352149085e-07,5.355079792934703e-07,9.039025030688208e-07,7.442557716785814e-07
Wafer,2.384185626702617e-10,1.1920928133513087e-10,0.0,5.96046378920078e-10,2.384185626702617e-10,2.384185626702617e-10,0.0,0.0,0.0,0.0,0.0,5.96046378920078e-10,7.15255688010785e-10,6.914137262725717e-09,0.0,4.768371253405235e-10,0.0,2.384185626702617e-10,0.0,1.907348057272884e-09,1.3113019559085615e-09,1.1920928133513087e-10,4.053114288637971e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wine,0.0069561884738504,0.059387344866991,0.0050558010116219,0.0087122991681098,0.1597252339124679,0.0042466572485864,0.005057783331722,0.0031215595081448,0.0024747857823967,0.0138280456885695,0.0137777095660567,0.0054624988697469,0.006548588629812,0.0095616457983851,0.0038651584181934,0.019445814192295,0.007279634475708,0.0052943308837711,0.0460357442498207,0.0035543555859476,0.0065045342780649,0.003625318640843,0.0009213105076923,0.0187389552593231,0.0057763936929404,0.0069391797296702,0.0031613139435648,0.005223227199167,0.0064905364997684,0.0026697521097958
WordSynonyms,3.122196858384996e-06,3.102999926340999e-06,5.535371656151256e-06,3.958430625061737e-06,2.047535417659674e-06,6.706896328978473e-06,4.404904302646173e-06,2.5618726340326248e-06,2.3462278022634564e-06,1.3407665164777427e-06,2.2167487259139307e-06,3.223548446840141e-06,3.22846244671382e-06,2.2966698907112004e-06,7.36723586669541e-06,3.0070043521845946e-06,1.429168719369045e-06,3.2851598916749936e-06,3.164166173519334e-06,4.085228738404112e-06,2.777519966912223e-06,1.4188985915097874e-06,4.845565399591578e-06,1.122886715165805e-06,2.281040906382259e-06,1.762238866831467e-06,1.65106644089974e-06,1.84349812570872e-06,1.6162416613951791e-06,1.224682705469604e-06
Worms,5.2259565563872457e-05,4.8195026465691626e-05,5.14953353558667e-05,4.987951251678169e-05,6.147460953798145e-05,5.6750675867078826e-05,0.0001118447326007,4.4575059291673824e-05,5.18656124768313e-05,0.0001169984825537,6.885387847432867e-05,9.024448809213936e-05,8.474010246573016e-05,9.67528612818569e-05,9.423816663911566e-05,0.0002035296347457,7.945604738779366e-05,3.249399742344394e-05,9.145160584012046e-05,9.057483839569612e-05,2.8617228963412344e-05,0.0001124832779169,6.193790613906458e-05,0.0001613441709196,5.5116262956289575e-05,3.027888851647731e-05,4.25852085754741e-05,5.122641960042529e-05,5.110078564030118e-05,4.1073297325056046e-05
WormsTwoClass,5.1555358368204907e-05,6.581246270798147e-05,5.731314740842208e-05,7.170151366153732e-05,3.805406595347449e-05,2.945436972368043e-05,7.374626147793606e-05,7.848897075746208e-05,4.818899105885066e-05,4.123540566070005e-05,2.353827039769385e-05,1.4980642845330294e-05,6.415473035303876e-05,4.505341348703951e-05,2.71392291324446e-05,2.4391125407419167e-05,2.109266279148869e-05,4.751979940920137e-05,4.209918552078307e-05,6.26057299086824e-05,3.1387073249788955e-05,2.8369793653837405e-05,3.123105489066802e-05,3.0323788450914435e-05,3.0128765502013263e-05,3.3968968637054786e-05,2.9082397304591723e-05,1.5788968084962107e-05,2.1522042516153302e-05,1.863044235506095e-05
Yoga,3.028500486834673e-06,9.961873956854106e-07,1.535396108920395e-06,6.377682666425244e-07,1.7706320249999408e-06,2.0793795556528494e-06,1.614870825505932e-06,9.357864314551988e-07,3.112088961643167e-06,1.7901016917676316e-06,3.4107752071577124e-06,5.333123681339202e-06,1.8584509007268928e-06,8.944617206907424e-07,3.743507022591075e-06,8.706197718311159e-07,1.2397692898957755e-06,4.458417777186696e-07,3.206288511137245e-06,9.4452900611941e-07,1.4145816749078222e-06,1.848127908488096e-06,3.5940656744060107e-06,6.229810878721764e-06,2.101232666973374e-06,6.965763077459997e-07,1.018436250888044e-06,1.1658568155326066e-06,5.753813638875727e-07,1.014861709336401e-06
