Dataset,GAPInceptionTime 0,GAPInceptionTime 1,GAPInceptionTime 2,GAPInceptionTime 3,GAPInceptionTime 4,InstanceInceptionTime 0,InstanceInceptionTime 1,InstanceInceptionTime 2,InstanceInceptionTime 3,InstanceInceptionTime 4,AttentionInceptionTime 0,AttentionInceptionTime 1,AttentionInceptionTime 2,AttentionInceptionTime 3,AttentionInceptionTime 4,AdditiveInceptionTime 0,AdditiveInceptionTime 1,AdditiveInceptionTime 2,AdditiveInceptionTime 3,AdditiveInceptionTime 4,ConjunctiveInceptionTime 0,ConjunctiveInceptionTime 1,ConjunctiveInceptionTime 2,ConjunctiveInceptionTime 3,ConjunctiveInceptionTime 4,GAPInceptionTimeEnsemble 0,InstanceInceptionTimeEnsemble 0,AttentionInceptionTimeEnsemble 0,AdditiveInceptionTimeEnsemble 0,ConjunctiveInceptionTimeEnsemble 0
Computers,3.1964428424835205,2.6063456535339355,2.913309335708618,2.885504484176636,3.679120540618897,3.657410144805908,3.0605263710021973,3.471241474151612,3.953981876373291,3.466158628463745,0.7296712398529053,2.3273963928222656,1.760568380355835,2.097574710845948,2.560619592666626,3.733654499053955,2.959922313690185,3.565230369567871,3.353488683700561,3.256206512451172,3.24680757522583,2.8133115768432617,3.656564235687256,3.704492568969727,3.201430559158325,3.13923454284668,3.4003026485443115,2.0782463550567627,3.203535556793213,3.140871524810791
CricketX,5.3492937088012695,4.930965423583984,5.778310298919678,6.139636993408203,6.009637832641602,5.364072322845459,5.075221538543701,5.518759250640869,5.504734992980957,5.118535995483398,-2.568547487258911,-1.9001786708831787,-1.14129638671875,-2.011717796325684,-2.190889596939087,5.813666820526123,5.788860321044922,5.135835647583008,5.186947345733643,5.08251428604126,5.857519626617432,5.058353424072266,5.643438339233398,4.985062122344971,5.406840324401856,5.6224212646484375,5.045483589172363,-1.7333195209503174,5.244809627532959,5.216509342193604
CricketY,4.633274555206299,4.678691387176514,4.654353141784668,4.6528096199035645,4.647379398345947,5.107810020446777,5.4090094566345215,5.099941253662109,5.573394775390625,4.78795051574707,-2.474369525909424,-2.080452680587769,-2.7315382957458496,-2.50058913230896,-2.2460877895355225,4.981136322021484,4.958582401275635,5.015196323394775,4.615484714508057,5.202903270721436,5.376789569854736,5.320958614349365,5.105721473693848,5.10300874710083,5.120354652404785,4.51887845993042,4.805788040161133,-2.377431631088257,4.669809818267822,4.775570392608643
CricketZ,5.14558219909668,5.131246089935303,5.094005584716797,5.0353851318359375,4.567474365234375,5.478186130523682,4.880685806274414,5.038562774658203,5.420562267303467,5.042331695556641,-2.657686710357666,-2.572851181030273,-2.251567840576172,-1.9238440990448,-1.8178751468658447,5.606777191162109,5.340559959411621,4.818382740020752,4.931506156921387,5.006337642669678,5.4889678955078125,5.372898101806641,5.20471715927124,4.881613254547119,4.815728187561035,4.749244213104248,4.953123569488525,-2.147711753845215,4.915948867797852,5.008293151855469
DiatomSizeReduction,-0.8265683054924011,0.7213361859321594,-2.084357738494873,1.5013747215270996,0.3151361346244812,-1.6317269802093506,-1.051267385482788,1.115389108657837,-1.3683722019195557,-3.561253547668457,-6.639159202575684,3.139734983444214,-1.406303882598877,-12.521119117736816,-1.5788874626159668,-0.0030113905668258,-12.06691074371338,0.7825376987457275,-4.581827640533447,-8.039188385009766,1.1237056255340576,-0.2872780561447143,-3.996538877487183,-0.6289904117584229,-15.369403839111328,0.4603166878223419,-1.316410779953003,-3.044651746749878,-4.583102226257324,1.6888262033462524
DistalPhalanxOutlineAgeGroup,1.276552438735962,1.2591441869735718,2.1111693382263184,-0.0111393742263317,1.212802529335022,-0.4404728710651397,1.196619749069214,3.857054948806762,5.582068920135498,4.456239223480225,-8.7026948928833,-2.6801161766052246,-1.836142301559448,-1.1603509187698364,1.0933274030685425,-1.3356999158859253,0.3472155034542084,-3.368046283721924,2.284043550491333,0.444998562335968,3.0187878608703613,1.6433738470077517,1.4933849573135376,1.0300244092941284,1.465146780014038,1.862112164497376,2.1128475666046143,1.0756142139434814,-1.71807861328125,2.615692138671875
DistalPhalanxOutlineCorrect,1.3639390468597412,0.1734663844108581,0.2928458154201507,0.5534369945526123,1.080169439315796,2.287829160690308,2.110751152038574,3.202242374420166,1.0962960720062256,2.2619426250457764,-0.6986276507377625,-1.409795880317688,-0.8209379315376282,-1.6161025762557983,-1.7443580627441406,2.14643931388855,2.098914861679077,-0.3921840488910675,1.6827423572540283,1.4340656995773315,1.0408252477645874,2.6922175884246826,1.7850221395492554,-0.2261989265680313,-1.1319732666015625,0.5347554683685303,2.510057210922241,-1.3240739107131958,2.1262435913085938,1.0407248735427856
DistalPhalanxTW,3.257594585418701,3.554128408432007,1.091221809387207,-0.3259959518909454,1.8630495071411133,1.660334825515747,5.124811172485352,1.7515987157821655,3.2550742626190186,2.0466370582580566,-2.350210666656494,-3.397103786468506,3.116040706634521,-9.478466033935549,0.2079861462116241,1.00898540019989,4.35040283203125,4.375006198883057,0.6701443195343018,1.9888122081756592,-1.2470943927764893,2.582503080368042,3.0256354808807373,6.403988838195801,2.7626309394836426,1.6914818286895752,3.970219612121582,0.1596213579177856,2.1483962535858154,2.663607120513916
Earthquakes,0.2243161350488662,1.9931467771530151,5.151189804077148,1.5719274282455444,0.0659308135509491,4.538358688354492,6.3251261711120605,2.1672792434692383,4.070117950439453,3.6326866149902335,2.136003494262696,1.106380820274353,2.388652801513672,3.1853671073913574,2.21891713142395,4.186613082885742,4.727482318878174,2.234540700912476,3.950167655944824,3.0611815452575684,3.4267237186431885,3.861263036727905,4.508218288421631,3.63741135597229,2.4072070121765137,1.5554746389389038,4.603765964508057,2.912760019302368,3.898228883743286,3.3703060150146484
ECG200,4.49311113357544,3.729090690612793,4.838905334472656,3.062886953353882,4.129769325256348,2.474323034286499,0.7411329746246338,4.661383152008057,2.0698728561401367,2.45101261138916,-0.9125156402587892,-0.3896543383598327,-0.891775906085968,-0.2715868353843689,-0.1463353186845779,2.1027934551239014,2.183888435363769,-0.0736007466912269,1.7718676328659058,2.36663031578064,1.9487292766571045,3.336759328842163,-1.9597299098968504,1.290184497833252,1.3783819675445557,4.172132968902588,3.080177068710327,-0.538810670375824,1.7310069799423218,1.7260138988494873
